run_id,role,mode,layer,worker_id,summary_chars,header_chars,trajectory_chars,snapshot_excerpt_chars,received_results,received_experience_chars,input_tokens,output_tokens,duration_sec,self_reported_success,local_validation_passed
cfgpipe-cumulative-main,frozen_main_treatment,cumulative_self_report_acceptance,1,worker_1,9445,67,4995,4310,3,25934,114211,2978,171.1502548000135,True,True
cfgpipe-cumulative-main,frozen_main_treatment,cumulative_self_report_acceptance,1,worker_2,9134,67,4705,4289,3,25934,104335,2813,173.440005499986,True,True
cfgpipe-cumulative-main,frozen_main_treatment,cumulative_self_report_acceptance,1,worker_3,9490,67,5024,4326,3,25934,93485,2930,208.64383119999547,True,True
cfgpipe-cumulative-main,frozen_main_treatment,cumulative_self_report_acceptance,2,worker_1,12000,67,5299,6561,6,54177,225284,5451,233.88866709999274,True,True
cfgpipe-cumulative-main,frozen_main_treatment,cumulative_self_report_acceptance,2,worker_2,6449,67,1852,4457,6,54177,152292,3578,152.75611720001325,True,True
cfgpipe-cumulative-main,frozen_main_treatment,cumulative_self_report_acceptance,2,worker_3,10479,67,6001,4338,6,54177,89269,3378,149.7766628000245,True,True
cfgpipe-cumulative-main,frozen_main_treatment,cumulative_self_report_acceptance,3,worker_1,10479,67,6001,4338,9,83280,178468,3653,173.65395680000074,True,True
cfgpipe-cumulative-main,frozen_main_treatment,cumulative_self_report_acceptance,3,worker_2,10479,67,6001,4338,9,83280,126911,3475,150.44244000001345,True,True
cfgpipe-cumulative-main,frozen_main_treatment,cumulative_self_report_acceptance,3,worker_3,10459,67,6001,4318,9,83280,178948,3788,181.68557060000603,True,True
cfgpipe-cumulative-main,frozen_main_treatment,cumulative_self_report_acceptance,4,worker_1,10459,67,6001,4318,12,114871,237658,3763,181.55866710000555,True,True
cfgpipe-cumulative-main,frozen_main_treatment,cumulative_self_report_acceptance,4,worker_2,10459,67,6001,4318,12,114871,204752,3548,174.7339951999893,True,True
cfgpipe-cumulative-main,frozen_main_treatment,cumulative_self_report_acceptance,4,worker_3,10479,67,6001,4338,12,114871,237373,3679,189.28193910000846,True,True
cfgpipe-cumulative-main,frozen_main_treatment,cumulative_self_report_acceptance,5,worker_1,10479,67,6001,4338,15,146442,295792,3689,170.46606609999435,True,True
cfgpipe-cumulative-main,frozen_main_treatment,cumulative_self_report_acceptance,5,worker_2,10479,67,6001,4338,15,146442,296010,3734,174.87831699999515,True,True
cfgpipe-cumulative-main,frozen_main_treatment,cumulative_self_report_acceptance,5,worker_3,10479,67,6001,4338,15,146442,255249,3652,162.34272300000885,True,True
cfgpipe-cumulative-main,frozen_main_treatment,cumulative_self_report_acceptance,6,worker_1,10479,67,6001,4338,18,178053,354346,3685,194.3314710999839,True,True
cfgpipe-cumulative-main,frozen_main_treatment,cumulative_self_report_acceptance,6,worker_2,10479,67,6001,4338,18,178053,354728,3755,200.36138899999787,True,True
cfgpipe-cumulative-main,frozen_main_treatment,cumulative_self_report_acceptance,6,worker_3,10479,67,6001,4338,18,178053,407125,4091,213.00362080000923,True,True
cfgpipe-cumulative-main,frozen_main_treatment,cumulative_self_report_acceptance,7,worker_1,10479,67,6001,4338,21,209664,413181,3737,189.11549890000606,True,True
cfgpipe-cumulative-main,frozen_main_treatment,cumulative_self_report_acceptance,7,worker_2,10479,67,6001,4338,21,209664,231251,2003,114.56048159999773,True,False
cfgpipe-cumulative-main,frozen_main_treatment,cumulative_self_report_acceptance,7,worker_3,10479,67,6001,4338,21,209664,413128,3712,181.56228220000048,True,True
cfgpipe-cumulative-main,frozen_main_treatment,cumulative_self_report_acceptance,8,worker_1,10479,67,6001,4338,24,241275,539093,3832,183.2297947999905,True,True
cfgpipe-cumulative-main,frozen_main_treatment,cumulative_self_report_acceptance,8,worker_2,10479,67,6001,4338,24,241275,407520,4936,211.04006460000528,True,True
cfgpipe-cumulative-main,frozen_main_treatment,cumulative_self_report_acceptance,8,worker_3,10479,67,6001,4338,24,241275,471609,3807,185.68483179999748,True,True
cfgpipe-cumulative-main,frozen_main_treatment,cumulative_self_report_acceptance,9,worker_1,10479,67,6001,4338,27,272886,607035,4019,259.7790719999757,True,True
cfgpipe-cumulative-main,frozen_main_treatment,cumulative_self_report_acceptance,9,worker_2,10479,67,6001,4338,27,272886,529872,3752,225.92910490001668,True,True
cfgpipe-cumulative-main,frozen_main_treatment,cumulative_self_report_acceptance,9,worker_3,10479,67,6001,4338,27,272886,455873,3717,226.25217400002293,True,True
cfgpipe-cumulative-main,frozen_main_treatment,cumulative_self_report_acceptance,10,worker_1,10480,68,6001,4338,30,304497,505553,3740,179.8458016999939,True,True
cfgpipe-cumulative-main,frozen_main_treatment,cumulative_self_report_acceptance,10,worker_2,10480,68,6001,4338,30,304497,418294,3635,167.9029273999913,True,True
cfgpipe-cumulative-main,frozen_main_treatment,cumulative_self_report_acceptance,10,worker_3,10480,68,6001,4338,30,304497,587665,3779,228.82232320000185,True,True
cfgpipe-cumulative-main,frozen_main_treatment,cumulative_self_report_acceptance,11,worker_1,10480,68,6001,4338,33,336111,645511,3798,209.6360714000184,True,True
cfgpipe-cumulative-main,frozen_main_treatment,cumulative_self_report_acceptance,11,worker_2,10480,68,6001,4338,33,336111,459633,3670,181.3345449999906,True,True
cfgpipe-cumulative-main,frozen_main_treatment,cumulative_self_report_acceptance,11,worker_3,10480,68,6001,4338,33,336111,552197,3796,211.26922279997962,True,True
cfgpipe-cumulative-main,frozen_main_treatment,cumulative_self_report_acceptance,12,worker_1,10480,68,6001,4338,36,367725,599593,3716,294.170661000011,True,True
cfgpipe-cumulative-main,frozen_main_treatment,cumulative_self_report_acceptance,12,worker_2,10480,68,6001,4338,36,367725,599801,3777,377.7449309999938,True,True
cfgpipe-cumulative-main,frozen_main_treatment,cumulative_self_report_acceptance,12,worker_3,10480,68,6001,4338,36,367725,703436,3809,232.75542840000708,True,True
cfgpipe-bounded-control,prospective_bounded_context_control,bounded_recent_self_report_acceptance,1,worker_1,10105,67,5495,4470,3,25934,105786,3132,149.42226530000335,True,True
cfgpipe-bounded-control,prospective_bounded_context_control,bounded_recent_self_report_acceptance,1,worker_2,9339,67,4873,4326,3,25934,92870,2838,143.600569000002,True,True
cfgpipe-bounded-control,prospective_bounded_context_control,bounded_recent_self_report_acceptance,1,worker_3,7604,67,1703,5761,3,25934,121479,2251,139.9768762999447,True,True
cfgpipe-bounded-control,prospective_bounded_context_control,bounded_recent_self_report_acceptance,2,worker_1,10611,67,6001,4470,3,27222,65055,3827,161.31244140001945,True,True
cfgpipe-bounded-control,prospective_bounded_context_control,bounded_recent_self_report_acceptance,2,worker_2,10611,67,6001,4470,3,27222,65778,3975,171.51092610001797,True,True
cfgpipe-bounded-control,prospective_bounded_context_control,bounded_recent_self_report_acceptance,2,worker_3,10008,67,5398,4470,3,27222,79793,3545,144.92308909998974,True,True
cfgpipe-bounded-control,prospective_bounded_context_control,bounded_recent_self_report_acceptance,3,worker_1,10611,67,6001,4470,3,31404,81496,6153,226.04258100001607,True,True
cfgpipe-bounded-control,prospective_bounded_context_control,bounded_recent_self_report_acceptance,3,worker_2,10611,67,6001,4470,3,31404,61953,3759,152.12406769994413,True,True
cfgpipe-bounded-control,prospective_bounded_context_control,bounded_recent_self_report_acceptance,3,worker_3,10611,67,6001,4470,3,31404,62326,3762,157.0849264000426,True,True
cfgpipe-bounded-control,prospective_bounded_context_control,bounded_recent_self_report_acceptance,4,worker_1,10636,67,6001,4495,3,32007,76423,4782,188.22862519999035,True,True
cfgpipe-bounded-control,prospective_bounded_context_control,bounded_recent_self_report_acceptance,4,worker_2,10611,67,6001,4470,3,32007,63544,3702,152.87021439999808,True,True
cfgpipe-bounded-control,prospective_bounded_context_control,bounded_recent_self_report_acceptance,4,worker_3,10611,67,6001,4470,3,32007,62671,3682,154.3410828000051,True,True
